CODGEO,LIBGEO,ETTOT12,ETAZ12,ETBE12,ETFZ12,ETGU12,ETGZ12,ETOQ12,ETTEF012,ETAZ012,ETBE012,ETFZ012,ETGU012,ETGZ012,ETOQ012,ETTEF112,ETAZ112,ETBE112,ETFZ112,ETGU112,ETGZ112,ETOQ112,ETTEF1012,ETAZ1012,ETBE1012,ETFZ1012,ETGU1012,ETGZ1012,ETOQ1012,ETTEF2012,ETAZ2012,ETBE2012,ETFZ2012,ETGU2012,ETGZ2012,ETOQ2012,ETTEF5012,ETAZ5012,ETBE5012,ETFZ5012,ETGU5012,ETGZ5012,ETOQ5012,ETPTOT12,ETPAZ12,ETPBE12,ETPFZ12,ETPGU12,ETPGZ12,ETPOQ12,ETPTEF112,ETPAZ112,ETPBE112,ETPFZ112,ETPGU112,ETPGZ112,ETPOQ112,ETPTEF1012,ETPAZ1012,ETPBE1012,ETPFZ1012,ETPGU1012,ETPGZ1012,ETPOQ1012,ETPTEF2012,ETPAZ2012,ETPBE2012,ETPFZ2012,ETPGU2012,ETPGZ2012,ETPOQ2012,ETPTEF5012,ETPAZ5012,ETPBE5012,ETPFZ5012,ETPGU5012,ETPGZ5012,ETPOQ5012,ETPTEFCP12,ETPAZCP12,ETPBECP12,ETPFZCP12,ETPGUCP12,ETPGZCP12,ETPOQCP12,ETPRES12,ETNPRES12,ETPRESPUB12,ETNPRESPUB12,ETPPRES12,ETPNPRES12,ETPPRESPUB12,ETPNPRESPUB12,ENTOT12,ENAZ12,ENBE12,ENFZ12,ENGU12,ENGZ12,ENOQ12
72185,Mareil-sur-Loir,32,13,3,0,13,1,3,27,12,2,0,13,1,0,5,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,1,0,0,0,7,12,4,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21,2,0,7,5,6,0,29,13,2,0,12,1,2
72186,Maresché,63,12,4,10,33,14,4,43,12,1,7,21,5,2,16,0,1,3,10,8,2,3,0,1,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,122,0,47,10,55,36,10,51,0,3,10,28,25,10,41,0,14,0,27,11,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,36,3,0,41,81,10,0,51,10,2,10,27,11,2
72187,Marigné-Laillé,109,29,11,15,47,13,7,89,25,8,9,43,12,4,18,4,2,6,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,164,6,103,15,8,1,32,50,6,4,15,8,1,17,15,0,0,0,0,0,15,0,0,0,0,0,0,0,99,0,99,0,0,0,0,0,0,0,0,0,0,0,53,56,2,0,57,107,24,0,105,27,11,15,46,12,6
72188,Marollette,9,3,0,0,4,0,2,7,3,0,0,4,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,0,2,0,1,0,9,3,0,0,4,0,2
72189,Marolles-les-Braults,202,62,12,12,94,19,22,125,51,3,7,58,7,6,58,11,6,2,31,10,8,7,0,1,2,2,0,2,8,0,0,1,3,2,4,4,0,2,0,0,0,2,1166,13,556,71,189,82,337,139,13,19,4,76,30,27,96,0,15,28,25,0,28,244,0,0,39,88,52,117,165,0,0,0,0,0,165,522,0,522,0,0,0,0,88,114,12,0,522,644,178,0,166,61,8,10,72,13,15
72190,Marolles-lès-Saint-Calais,34,18,1,2,12,1,1,25,14,0,2,9,1,0,8,4,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,118,6,105,0,4,0,3,13,6,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,105,0,0,0,0,7,27,1,0,4,114,3,0,33,18,0,2,12,1,1
72191,Mayet,256,50,24,25,124,33,33,191,45,15,17,93,17,21,54,4,5,8,30,16,7,5,1,1,0,1,0,2,4,0,2,0,0,0,2,2,0,1,0,0,0,1,502,14,156,27,105,55,200,157,4,20,27,86,55,20,66,10,13,0,19,0,24,120,0,56,0,0,0,64,159,0,67,0,0,0,92,0,0,0,0,0,0,0,134,122,9,0,287,215,186,0,227,49,21,25,105,27,27
72192,"Les Mées",16,11,1,1,2,1,1,15,10,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,1,0,0,1,0,0,15,11,1,1,1,1,1
72193,Melleray,56,29,2,3,19,6,3,47,27,0,2,17,6,1,8,2,1,1,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,16,1,3,0,5,12,2,1,1,3,0,5,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,44,2,0,9,18,5,0,52,27,1,3,19,6,2
72194,Meurcé,25,11,3,4,6,0,1,19,8,3,3,5,0,0,6,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,5,2,0,2,13,4,0,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,1,0,9,4,2,0,22,11,2,3,5,0,1
