CODGEO,LIBGEO,ETTOT12,ETAZ12,ETBE12,ETFZ12,ETGU12,ETGZ12,ETOQ12,ETTEF012,ETAZ012,ETBE012,ETFZ012,ETGU012,ETGZ012,ETOQ012,ETTEF112,ETAZ112,ETBE112,ETFZ112,ETGU112,ETGZ112,ETOQ112,ETTEF1012,ETAZ1012,ETBE1012,ETFZ1012,ETGU1012,ETGZ1012,ETOQ1012,ETTEF2012,ETAZ2012,ETBE2012,ETFZ2012,ETGU2012,ETGZ2012,ETOQ2012,ETTEF5012,ETAZ5012,ETBE5012,ETFZ5012,ETGU5012,ETGZ5012,ETOQ5012,ETPTOT12,ETPAZ12,ETPBE12,ETPFZ12,ETPGU12,ETPGZ12,ETPOQ12,ETPTEF112,ETPAZ112,ETPBE112,ETPFZ112,ETPGU112,ETPGZ112,ETPOQ112,ETPTEF1012,ETPAZ1012,ETPBE1012,ETPFZ1012,ETPGU1012,ETPGZ1012,ETPOQ1012,ETPTEF2012,ETPAZ2012,ETPBE2012,ETPFZ2012,ETPGU2012,ETPGZ2012,ETPOQ2012,ETPTEF5012,ETPAZ5012,ETPBE5012,ETPFZ5012,ETPGU5012,ETPGZ5012,ETPOQ5012,ETPTEFCP12,ETPAZCP12,ETPBECP12,ETPFZCP12,ETPGUCP12,ETPGZCP12,ETPOQCP12,ETPRES12,ETNPRES12,ETPRESPUB12,ETNPRESPUB12,ETPPRES12,ETPNPRES12,ETPPRESPUB12,ETPNPRESPUB12,ENTOT12,ENAZ12,ENBE12,ENFZ12,ENGU12,ENGZ12,ENOQ12
62107,Bénifontaine,39,4,2,4,26,5,3,22,4,1,2,14,1,1,15,0,0,1,12,4,2,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,96,0,20,31,42,16,3,47,0,0,2,42,16,3,0,0,0,0,0,0,0,49,0,20,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,1,0,60,36,2,0,36,4,2,4,23,5,3
62108,Berck,1205,15,48,91,837,274,214,747,11,24,75,507,133,130,365,4,17,16,294,126,34,33,0,4,0,18,7,11,36,0,2,0,15,7,19,24,0,1,0,3,1,20,6948,14,237,44,1991,928,4662,1211,14,60,44,958,432,135,423,0,51,0,231,96,141,1217,0,47,0,519,236,651,1129,0,79,0,119,0,931,2968,0,0,0,164,164,2804,935,270,39,0,6607,341,1671,0,949,15,34,87,659,198,154
62109,Bergueneuse,10,1,1,0,4,2,4,4,0,0,0,4,2,0,3,1,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,92,1,60,0,0,0,31,4,1,0,0,0,0,3,28,0,0,0,0,0,28,0,0,0,0,0,0,0,60,0,60,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,31,61,20,0,8,1,1,0,4,2,2
62111,Berlencourt-le-Cauroy,24,10,0,2,7,3,5,16,7,0,2,6,2,1,7,3,0,0,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,4,0,0,6,6,25,16,4,0,0,6,6,6,19,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,4,0,31,4,6,0,23,10,0,2,7,3,4
62112,Berles-au-Bois,38,11,3,1,19,3,4,30,10,3,0,15,2,2,8,1,0,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0,6,18,4,6,31,1,0,6,18,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,24,4,0,16,15,6,0,35,11,2,1,18,4,3
62113,Berles-Monchel,38,9,0,7,16,3,6,31,7,0,5,15,3,4,7,2,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,4,1,0,7,16,4,0,4,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,2,0,11,5,7,0,36,9,0,7,15,3,5
62114,Bermicourt,10,3,0,1,5,0,1,7,2,0,1,4,0,0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,6,0,1,8,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,0,7,1,1,0,9,3,0,0,5,0,1
62115,Berneville,30,10,1,3,14,3,2,24,9,0,1,14,3,0,6,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,7,0,0,6,15,1,1,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,2,0,13,2,6,0,29,10,1,3,14,3,1
62116,Bernieulles,17,9,3,0,3,0,2,14,9,2,0,3,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,3,8,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,2,0,3,5,3,0,15,9,3,0,2,0,1
62117,Bertincourt,68,13,1,6,35,9,13,45,10,1,4,25,5,5,19,2,0,2,9,3,6,3,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,140,19,0,11,38,20,72,65,3,0,11,26,8,25,38,16,0,0,12,12,10,37,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,28,8,0,110,30,67,0,62,13,1,6,32,9,10
