CODGEO,LIBGEO,ETTOT12,ETAZ12,ETBE12,ETFZ12,ETGU12,ETGZ12,ETOQ12,ETTEF012,ETAZ012,ETBE012,ETFZ012,ETGU012,ETGZ012,ETOQ012,ETTEF112,ETAZ112,ETBE112,ETFZ112,ETGU112,ETGZ112,ETOQ112,ETTEF1012,ETAZ1012,ETBE1012,ETFZ1012,ETGU1012,ETGZ1012,ETOQ1012,ETTEF2012,ETAZ2012,ETBE2012,ETFZ2012,ETGU2012,ETGZ2012,ETOQ2012,ETTEF5012,ETAZ5012,ETBE5012,ETFZ5012,ETGU5012,ETGZ5012,ETOQ5012,ETPTOT12,ETPAZ12,ETPBE12,ETPFZ12,ETPGU12,ETPGZ12,ETPOQ12,ETPTEF112,ETPAZ112,ETPBE112,ETPFZ112,ETPGU112,ETPGZ112,ETPOQ112,ETPTEF1012,ETPAZ1012,ETPBE1012,ETPFZ1012,ETPGU1012,ETPGZ1012,ETPOQ1012,ETPTEF2012,ETPAZ2012,ETPBE2012,ETPFZ2012,ETPGU2012,ETPGZ2012,ETPOQ2012,ETPTEF5012,ETPAZ5012,ETPBE5012,ETPFZ5012,ETPGU5012,ETPGZ5012,ETPOQ5012,ETPTEFCP12,ETPAZCP12,ETPBECP12,ETPFZCP12,ETPGUCP12,ETPGZCP12,ETPOQCP12,ETPRES12,ETNPRES12,ETPRESPUB12,ETNPRESPUB12,ETPPRES12,ETPNPRES12,ETPPRESPUB12,ETPNPRESPUB12,ENTOT12,ENAZ12,ENBE12,ENFZ12,ENGU12,ENGZ12,ENOQ12
61182,Gandelain,51,35,0,6,9,1,1,46,33,0,4,9,1,0,5,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,8,0,0,2,14,4,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,41,1,0,10,4,2,0,50,34,0,6,9,1,1
61183,Gâprée,35,27,1,1,4,2,2,31,24,1,1,3,2,2,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,1,0,0,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,1,0,0,5,0,0,32,25,0,1,4,2,2
61184,Gauville,44,21,1,7,13,3,2,32,17,0,4,11,3,0,11,4,0,3,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,4,10,9,11,0,7,31,4,0,9,11,0,7,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,28,2,0,16,25,7,0,43,21,1,7,13,3,1
61185,Gémages,13,6,0,3,3,1,1,8,5,0,2,1,1,0,5,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,3,5,0,1,11,2,0,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,1,0,5,6,1,0,12,6,0,3,2,0,1
61186,Geneslay,29,18,0,3,6,1,2,23,15,0,2,5,1,1,6,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,2,2,0,2,9,3,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,19,2,0,6,3,2,0,28,18,0,3,6,1,1
61187,"Les Genettes",12,1,1,2,7,2,1,9,1,1,1,6,2,0,2,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,16,3,0,1,4,0,0,0,3,0,1,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,0,17,3,1,0,12,1,1,2,7,2,1
61188,"La Genevraie",35,21,1,1,11,1,1,26,15,1,1,9,0,0,9,6,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,0,0,3,2,1,19,15,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,29,1,0,4,15,1,0,32,18,1,1,11,1,1
61189,Giel-Courteilles,54,29,2,4,14,1,5,37,22,1,1,12,1,1,12,7,0,3,1,0,1,3,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,172,15,11,10,22,0,114,32,15,0,10,3,0,4,41,0,11,0,19,0,11,46,0,0,0,0,0,46,53,0,0,0,0,0,53,0,0,0,0,0,0,0,14,40,3,0,146,26,61,0,51,29,2,4,13,1,3
61190,Ginai,21,11,0,1,5,1,4,19,11,0,1,5,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,19,8,0,0,0,0,0,8,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,1,0,19,0,0,0,21,11,0,1,5,1,4
61191,Glos-la-Ferrière,73,25,2,6,35,16,5,60,21,2,4,31,13,2,12,4,0,2,4,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,59,10,0,5,18,16,26,39,10,0,5,18,16,6,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,43,4,0,38,21,26,0,65,24,2,5,32,16,2
61192,Godisson,16,10,1,2,2,1,1,12,8,1,1,1,1,1,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,4,2,0,0,11,5,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,1,0,4,7,0,0,16,10,1,2,2,1,1
61193,"La Gonfrière",35,17,1,4,11,6,2,31,16,1,2,11,6,1,4,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,4,0,0,2,7,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21,2,0,6,1,2,0,31,15,1,4,10,5,1
61194,Goulet,45,22,1,3,11,1,8,37,18,1,1,11,1,6,8,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,0,11,0,0,4,20,5,0,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,26,4,0,15,5,4,0,40,18,1,3,11,1,7
61195,"Le Grais",37,23,1,0,11,4,2,30,21,1,0,8,3,0,7,2,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,5,1,2,10,3,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,2,0,5,5,2,0,35,22,1,0,10,4,2
