CODGEO,LIBGEO,ETTOT12,ETAZ12,ETBE12,ETFZ12,ETGU12,ETGZ12,ETOQ12,ETTEF012,ETAZ012,ETBE012,ETFZ012,ETGU012,ETGZ012,ETOQ012,ETTEF112,ETAZ112,ETBE112,ETFZ112,ETGU112,ETGZ112,ETOQ112,ETTEF1012,ETAZ1012,ETBE1012,ETFZ1012,ETGU1012,ETGZ1012,ETOQ1012,ETTEF2012,ETAZ2012,ETBE2012,ETFZ2012,ETGU2012,ETGZ2012,ETOQ2012,ETTEF5012,ETAZ5012,ETBE5012,ETFZ5012,ETGU5012,ETGZ5012,ETOQ5012,ETPTOT12,ETPAZ12,ETPBE12,ETPFZ12,ETPGU12,ETPGZ12,ETPOQ12,ETPTEF112,ETPAZ112,ETPBE112,ETPFZ112,ETPGU112,ETPGZ112,ETPOQ112,ETPTEF1012,ETPAZ1012,ETPBE1012,ETPFZ1012,ETPGU1012,ETPGZ1012,ETPOQ1012,ETPTEF2012,ETPAZ2012,ETPBE2012,ETPFZ2012,ETPGU2012,ETPGZ2012,ETPOQ2012,ETPTEF5012,ETPAZ5012,ETPBE5012,ETPFZ5012,ETPGU5012,ETPGZ5012,ETPOQ5012,ETPTEFCP12,ETPAZCP12,ETPBECP12,ETPFZCP12,ETPGUCP12,ETPGZCP12,ETPOQCP12,ETPRES12,ETNPRES12,ETPRESPUB12,ETNPRESPUB12,ETPPRES12,ETPNPRES12,ETPPRESPUB12,ETPNPRESPUB12,ENTOT12,ENAZ12,ENBE12,ENFZ12,ENGU12,ENGZ12,ENOQ12
01001,L'Abergement-Clémenciat,57,15,2,6,28,8,6,49,13,2,5,25,8,4,7,1,0,1,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,11,0,6,10,0,13,30,1,0,6,10,0,13,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,34,3,0,28,12,13,0,55,15,2,6,27,7,5
01002,L'Abergement-de-Varey,22,5,2,1,11,3,3,18,4,1,1,10,2,2,4,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,2,2,1,5,1,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,1,0,1,4,1,0,22,5,2,1,11,3,3
01004,Ambérieu-en-Bugey,1346,10,69,132,922,292,213,844,10,31,87,561,136,155,393,0,25,35,303,135,30,55,0,8,7,30,11,10,33,0,2,2,19,8,10,21,0,3,1,9,2,8,5277,0,483,347,2932,1100,1515,1313,0,112,107,988,484,106,742,0,105,86,420,153,131,989,0,61,55,540,218,333,1033,0,205,99,435,97,294,1200,0,0,0,549,148,651,932,414,35,0,4005,1272,942,0,1096,10,54,120,746,219,166
01005,Ambérieux-en-Dombes,157,28,7,19,90,22,13,123,26,4,11,72,16,10,29,2,1,8,18,6,0,3,0,1,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,163,2,40,24,45,15,52,73,2,2,24,45,15,0,43,0,16,0,0,0,27,47,0,22,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,80,3,0,118,45,27,0,147,25,5,17,88,21,12
01006,Ambléon,5,2,0,0,1,0,2,4,2,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,1,0,1,0,4,2,0,0,0,0,2
01007,Ambronay,219,37,15,20,116,25,31,167,34,9,13,90,17,21,41,3,4,6,21,5,7,9,0,2,1,4,2,2,1,0,0,0,1,1,0,1,0,0,0,0,0,1,351,6,49,35,154,69,107,143,6,22,21,67,18,27,126,0,27,14,59,23,26,28,0,0,0,28,28,0,54,0,0,0,0,0,54,0,0,0,0,0,0,0,112,107,6,0,197,154,31,0,202,35,12,19,110,23,26
01008,Ambutrix,60,3,0,9,38,13,10,36,3,0,4,23,2,6,22,0,0,5,14,10,3,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,10,60,48,28,68,0,0,10,49,37,9,30,0,0,0,11,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,22,2,0,87,11,7,0,57,3,0,9,37,13,8
01009,Andert-et-Condon,51,15,5,2,25,5,4,43,15,3,2,20,4,3,8,0,2,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,3,0,17,2,2,22,0,3,0,17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,32,1,0,3,19,2,0,50,15,4,2,25,6,4
01010,Anglefort,63,11,5,12,29,9,6,49,11,3,7,25,8,3,12,0,1,5,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,174,0,134,8,5,1,27,29,0,1,8,5,1,15,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,133,0,0,0,0,37,26,2,0,40,134,18,0,58,10,4,11,28,10,5
01011,Apremont,32,9,1,4,12,4,6,25,8,1,3,9,4,4,7,1,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,1,6,0,6,14,1,0,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,2,0,7,7,6,0,30,9,1,4,11,3,5
