CODGEO,LIBGEO,ETTOT12,ETAZ12,ETBE12,ETFZ12,ETGU12,ETGZ12,ETOQ12,ETTEF012,ETAZ012,ETBE012,ETFZ012,ETGU012,ETGZ012,ETOQ012,ETTEF112,ETAZ112,ETBE112,ETFZ112,ETGU112,ETGZ112,ETOQ112,ETTEF1012,ETAZ1012,ETBE1012,ETFZ1012,ETGU1012,ETGZ1012,ETOQ1012,ETTEF2012,ETAZ2012,ETBE2012,ETFZ2012,ETGU2012,ETGZ2012,ETOQ2012,ETTEF5012,ETAZ5012,ETBE5012,ETFZ5012,ETGU5012,ETGZ5012,ETOQ5012,ETPTOT12,ETPAZ12,ETPBE12,ETPFZ12,ETPGU12,ETPGZ12,ETPOQ12,ETPTEF112,ETPAZ112,ETPBE112,ETPFZ112,ETPGU112,ETPGZ112,ETPOQ112,ETPTEF1012,ETPAZ1012,ETPBE1012,ETPFZ1012,ETPGU1012,ETPGZ1012,ETPOQ1012,ETPTEF2012,ETPAZ2012,ETPBE2012,ETPFZ2012,ETPGU2012,ETPGZ2012,ETPOQ2012,ETPTEF5012,ETPAZ5012,ETPBE5012,ETPFZ5012,ETPGU5012,ETPGZ5012,ETPOQ5012,ETPTEFCP12,ETPAZCP12,ETPBECP12,ETPFZCP12,ETPGUCP12,ETPGZCP12,ETPOQCP12,ETPRES12,ETNPRES12,ETPRESPUB12,ETNPRESPUB12,ETPPRES12,ETPNPRES12,ETPPRESPUB12,ETPNPRESPUB12,ENTOT12,ENAZ12,ENBE12,ENFZ12,ENGU12,ENGZ12,ENOQ12
38338,"La Rivière",53,13,5,5,26,4,4,44,10,3,5,24,4,2,8,3,1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,59,3,42,0,2,0,12,19,3,2,0,2,0,12,0,0,0,0,0,0,0,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,30,2,0,13,46,12,0,50,13,4,5,25,4,3
38339,Roche,144,41,7,30,51,10,15,116,41,5,21,39,7,10,24,0,2,8,10,3,4,4,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,5,44,45,6,33,72,0,5,27,25,6,15,55,0,0,17,20,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,74,3,0,85,42,29,0,138,39,6,30,51,10,12
38340,"Les Roches-de-Condrieu",117,1,12,16,53,11,35,82,1,4,11,39,8,27,27,0,6,3,12,3,6,5,0,1,0,2,0,2,1,0,0,1,0,0,0,2,0,1,1,0,0,0,488,0,95,266,61,10,66,110,0,26,14,36,10,34,68,0,11,0,25,0,32,31,0,0,31,0,0,0,58,0,58,0,0,0,0,221,0,0,221,0,0,0,82,35,9,0,381,107,62,0,103,1,8,16,50,10,28
38341,Rochetoirin,154,23,22,25,77,27,7,94,22,6,13,48,13,5,45,1,9,10,23,12,2,10,0,4,2,4,1,0,2,0,2,0,0,0,0,3,0,1,0,2,1,0,605,3,277,61,246,126,18,165,3,35,35,74,38,18,129,0,58,26,45,11,0,62,0,62,0,0,0,0,127,0,0,0,127,77,0,122,0,122,0,0,0,0,59,95,3,0,119,486,18,0,132,22,17,22,66,23,5
38342,Roissard,42,13,2,7,18,2,2,35,12,2,5,15,2,1,7,1,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,12,6,0,8,27,1,0,12,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,23,1,0,26,1,8,0,39,12,2,7,16,2,2
38343,Romagnieu,150,41,14,15,69,19,11,118,40,7,9,54,13,8,24,1,5,5,11,3,2,5,0,0,1,3,3,1,3,0,2,0,1,0,0,0,0,0,0,0,0,0,241,1,88,33,96,52,23,86,1,25,17,32,14,11,66,0,0,16,38,38,12,89,0,63,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,92,2,0,119,122,19,0,139,40,10,14,66,18,9
38344,Roussillon,652,21,41,114,373,102,103,421,17,21,56,256,59,71,189,3,10,56,104,39,16,18,1,2,1,9,3,5,14,0,3,0,4,1,7,10,0,5,1,0,0,4,2161,14,675,241,565,210,666,558,4,30,163,313,135,48,246,10,33,10,126,45,67,413,0,86,0,126,30,201,440,0,147,68,0,0,225,504,0,379,0,0,0,125,447,205,15,0,1384,777,428,0,565,21,25,110,325,90,84
38345,Rovon,52,8,5,11,23,6,5,45,8,3,9,22,6,3,7,0,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,4,5,1,0,7,17,0,4,5,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,22,2,0,13,4,7,0,49,8,5,10,22,6,4
38346,Royas,30,7,1,6,13,6,3,25,7,0,6,10,5,2,5,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,5,1,2,8,0,1,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,1,0,7,1,2,0,30,7,1,6,13,6,3
38347,Roybon,169,47,16,15,74,12,17,145,46,14,12,63,8,10,19,1,2,3,9,3,4,1,0,0,0,0,0,1,3,0,0,0,2,1,1,1,0,0,0,0,0,1,280,2,2,9,78,38,189,50,2,2,9,19,6,18,14,0,0,0,0,0,14,88,0,0,0,59,32,29,0,0,0,0,0,0,0,128,0,0,0,0,0,128,75,94,7,0,216,64,153,0,156,47,16,15,69,11,9
