CODGEO,LIBGEO,ETTOT12,ETAZ12,ETBE12,ETFZ12,ETGU12,ETGZ12,ETOQ12,ETTEF012,ETAZ012,ETBE012,ETFZ012,ETGU012,ETGZ012,ETOQ012,ETTEF112,ETAZ112,ETBE112,ETFZ112,ETGU112,ETGZ112,ETOQ112,ETTEF1012,ETAZ1012,ETBE1012,ETFZ1012,ETGU1012,ETGZ1012,ETOQ1012,ETTEF2012,ETAZ2012,ETBE2012,ETFZ2012,ETGU2012,ETGZ2012,ETOQ2012,ETTEF5012,ETAZ5012,ETBE5012,ETFZ5012,ETGU5012,ETGZ5012,ETOQ5012,ETPTOT12,ETPAZ12,ETPBE12,ETPFZ12,ETPGU12,ETPGZ12,ETPOQ12,ETPTEF112,ETPAZ112,ETPBE112,ETPFZ112,ETPGU112,ETPGZ112,ETPOQ112,ETPTEF1012,ETPAZ1012,ETPBE1012,ETPFZ1012,ETPGU1012,ETPGZ1012,ETPOQ1012,ETPTEF2012,ETPAZ2012,ETPBE2012,ETPFZ2012,ETPGU2012,ETPGZ2012,ETPOQ2012,ETPTEF5012,ETPAZ5012,ETPBE5012,ETPFZ5012,ETPGU5012,ETPGZ5012,ETPOQ5012,ETPTEFCP12,ETPAZCP12,ETPBECP12,ETPFZCP12,ETPGUCP12,ETPGZCP12,ETPOQCP12,ETPRES12,ETNPRES12,ETPRESPUB12,ETNPRESPUB12,ETPPRES12,ETPNPRES12,ETPPRESPUB12,ETPNPRESPUB12,ENTOT12,ENAZ12,ENBE12,ENFZ12,ENGU12,ENGZ12,ENOQ12
14521,Presles,34,18,0,1,12,4,3,31,17,0,1,12,4,1,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,3,4,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26,2,0,3,1,3,0,33,18,0,1,12,5,2
14522,Prêtreville,53,18,3,7,22,4,3,43,17,2,4,18,4,2,9,1,0,3,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,14,4,6,0,1,13,2,0,4,6,0,1,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,35,1,0,9,18,1,0,51,17,3,7,21,4,3
14523,Proussy,42,25,2,1,13,4,1,37,23,1,1,12,3,0,5,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,6,0,1,1,2,12,3,6,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,1,0,2,10,2,0,40,24,1,1,13,4,1
14524,Putot-en-Auge,34,11,1,7,14,7,1,24,9,1,4,10,3,0,9,1,0,3,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,14,0,8,12,12,1,22,1,0,8,12,12,1,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,1,0,13,22,1,0,32,10,1,7,13,6,1
14525,Putot-en-Bessin,32,8,0,2,18,2,4,26,7,0,2,14,1,3,6,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,5,1,3,9,1,0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,1,0,4,5,3,0,30,8,0,2,16,1,4
14527,Biéville-Quétiéville,61,30,2,8,17,3,4,48,23,1,7,15,3,2,12,7,0,1,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,66,17,31,5,5,0,8,35,17,0,5,5,0,8,0,0,0,0,0,0,0,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,42,2,0,18,48,2,0,56,28,1,7,17,3,3
14528,Quetteville,66,17,2,12,31,9,4,56,17,1,11,25,8,2,9,0,1,0,6,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,50,0,1,20,24,2,5,30,0,1,0,24,2,5,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,2,0,38,12,5,0,61,17,2,13,26,7,3
14529,Ranchy,20,9,2,3,4,0,2,18,9,2,1,4,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,1,0,12,0,0,0,18,7,2,4,3,0,2
14530,Ranville,146,12,11,19,82,24,22,108,10,6,11,65,20,16,32,2,4,7,14,3,5,3,0,0,0,2,1,1,2,0,0,1,1,0,0,1,0,1,0,0,0,0,300,3,112,50,101,28,34,97,3,9,20,49,12,16,48,0,0,0,30,16,18,52,0,0,30,22,0,0,0,0,0,0,0,0,0,103,0,103,0,0,0,0,99,47,7,0,150,150,53,0,134,12,8,19,75,25,20
14531,Rapilly,5,2,0,0,2,0,1,4,2,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,1,0,1,0,5,2,0,0,2,0,1
